교재명,급수,단원번호,단원명,학습목표,이론실습,페이지범위,예시,교육내용,활용도구,핵심역량목표,교재구성체크,수업설계체크,평가운영체크,원본파일,원본행
,교육 1~2,1단원,도입,자격증/과정 목적을 이해하고 AI 번역의 활용 분야를 큰 그림으로 파악한다,이론,해당없음,“이 자격증은 무엇을 검증하나?”,"AI 번역이 어디에 쓰이고, 과정에서 무엇을 할 수 있게 되는지 안내(기대 결과/평가 방식)","안내자료, 샘플 문제",AI 도구 기본 사용 / 안전한 요청 습관,□ 개념 □ 용어 □ 예시 □ 미니퀴즈 □ 안전/금지,□ 차시계획 □ 실습가이드 □ 과제 □ 피드백폼,□ 간단테스트 □ 루브릭(기초) □ 검수자,휴텍씨DB/교재.csv,4
,교육 3~4,2단원,AI 번역 이론,"NMT/LLM 개념과 번역 품질 지표(MQM, BLEU 등)를 이해하고 문체별 전략을 설명한다",이론+미니 실습,해당없음,같은 문장 NMT vs LLM 비교,"NMT/LLM 차이, 품질지표가 왜 필요한지, 문체(뉴스/안내문/대화)별 주의점","ChatGPT, DeepL/Google, MQM 체크리스트",결과 품질 개선(수정·추가 질문),□ 개념 □ 사례 □ Before/After □ 체크리스트,□ 실습 시나리오 □ 과제 □ 코칭포인트,□ 수행평가 □ 루브릭(중) □ 문항태그,휴텍씨DB/교재.csv,5
,교육 5~6,3단원,언어 비교 이론,주요 언어(영/중/일 등)의 문장 구조·어순 차이를 이해하고 번역 시 함정을 피한다,이론+실습,해당없음,영어 수식어 위치 → 한국어 재배치,언어별로 어순/수식/주어 생략/경어/한자어 등 “틀어지기 쉬운 포인트”를 체크,"예문 세트, 대조표, ChatGPT",템플릿화(문서/요약/기획) / 재현성,□ 템플릿 □ 사례 □ 실습 □ 오류유형,□ 템플릿 실습 □ 팀과제 □ 피어리뷰,□ 실습채점 □ 루브릭(상) □ 버전로그,휴텍씨DB/교재.csv,6
,교육 7~8,4단원,번역 윤리,저작권/개인정보/공정이용 등 번역 실무에서의 윤리 기준을 적용한다,이론+사례,해당없음,개인정보 포함 문장 마스킹,번역 결과물은 저작권·보안·개인정보 이슈가 생길 수 있음 / 제출물·데이터 다룰 때 금지/주의 규칙,"윤리 체크리스트, 서약서, 가이드",응용(업무/콘텐츠) + 기본 책임성,□ 도메인예시 □ 리스크사례 □ 점검표,□ 프로젝트형 □ 제출물 규격 □ 리뷰룰,□ 프로젝트채점 □ 재채점 규칙,휴텍씨DB/교재.csv,7
,일반 3급,5단원,실전 연습,언어별 번역·후편집을 수행하고 도메인별 실습으로 실전 대응력을 만든다,실습 중심,해당없음,뉴스/기술/법률/영상 번역 후 수정,“번역→오류 잡기→후편집→최종 검수” 루틴을 반복 / 도메인별로 정확성·용어·톤 기준이 달라짐,"ChatGPT, 번역기, 용어집(Glossary), QA 체크리스트",실사용 문서 생성(메일/보고/정리),□ 문서유형별 템플릿 □ 실패사례 □ 수정법,□ 차시별 문서실습 □ 과제,□ 문항세트 □ 루브릭 □ 합격기준,휴텍씨DB/교재.csv,8
,일반 1급,,,,,,,,,복합 과업(기획+검수+산출물),□ 종합 시나리오 □ 품질 기준표,□ 캡스톤 과제 □ 발표/리뷰,□ 시나리오 채점표 □ 이의제기 규칙,휴텍씨DB/교재.csv,9
,일반 2급,,,,,,,,,다단계 지시/조건 관리/검증 습관,□ 체계적 프롬프트 □ 검증 체크리스트,□ 실습(다단계) □ 리비전 훈련,□ 수행형 평가 □ 기준답안,휴텍씨DB/교재.csv,10
,전문가 2급,,,,,,,,,전문 영역 적용(문서/데이터/개발 등),□ 도메인 규정 □ 리스크 케이스 □ 검증법,□ 전문가 실습 □ 케이스 스터디,□ 고난도 루브릭 □ 심사자 체계,휴텍씨DB/교재.csv,11
,전문가 1급,1장,AI 번역 이해와 품질 평가 기준,AI 번역의 품질을 “어떻게 평가할지” 기준(지표/프레임)을 이해한다,이론+미니 실습,(추후 입력),동일 번역문을 기준표로 채점,"RIFI/COMET/MQM이 뭔지 한 번에 정리하고, “좋은 번역/나쁜 번역”을 기준으로 말할 수 있게 만든다","MQM 체크리스트, 평가표(루브릭), (보조) ChatGPT",설계/감수/운영(가이드·표준화),□ 표준 템플릿 □ 운영 가이드 □ 품질관리,□ 운영 시뮬레이션 □ QA 프로세스,□ 문항은행 □ 릴리즈노트 □ 감사로그,휴텍씨DB/교재.csv,12
,교육 1~2,2장,정보성 문서 유형별,"실용 정보문을 유형별로 나누고, 유형에 맞는 번역 기준을 적용한다",이론+실습,(추후 입력),제품설명 vs 안내문 톤 비교,"뉴스/기사/블로그/제품설명/안내문 각각의 톤·형식·주의점(과장 금지, 정보 정확성 등) 체크","DeepL/Google/ChatGPT, 용어집(Glossary)",개인정보/저작권 “하면 안 되는 것”,□ 쉬운 사례 □ 금지 예시 □ 행동수칙,□ 활동지 □ 역할극/퀴즈,□ OX □ 간단서약,휴텍씨DB/교재.csv,13
,교육 3~4,3장,문장 구조와 오류 수정 전략,문장 구조 문제를 진단하고 자연스럽게 “감수/수정”할 수 있다,이론+실습,(추후 입력),복문을 2문장으로 분해,복문/수동태/병렬구조/접속사 오류 같은 “자주 터지는” 문장 오류를 빠르게 고치기(분해·재조합·논리 연결),"ChatGPT(수정안 비교), Grammarly(영문 시), 문장 체크리스트",편향/허위정보 기초 감지,□ 편향 사례 □ 팩트체크 습관,□ 실습(사례판단) □ 토론질문,□ 체크리스트 채점,휴텍씨DB/교재.csv,14
,교육 5~6,4장,문체와 어휘 통일,문서 전체의 톤·용어·표기 규칙을 통일해 품질을 올린다,이론+실습,(추후 입력),‘고객님/당신’ 통일,"동어 반복 줄이기, 용어 선택 일관성, 스타일 가이드(존댓말/표기/단위/숫자/대문자) 적용","스타일가이드, 용어집, QA 리스트",프롬프트에 윤리요소 삽입(안전장치),□ 안전문구 템플릿 □ 위험 신호,□ 수정 실습 □ 피드백,□ 수행형 루브릭,휴텍씨DB/교재.csv,15
,교육 7~8,5장,실전 연습,실제 결과물을 평가→오류 해설→재수정까지 완주한다,실습 중심,(추후 입력),AI 번역 결과 채점 후 재번역,"뉴스 기사 번역 결과를 품질 평가하고, AI 번역 오류를 유형별로 해설한 뒤 평가기준 체크리스트로 재검수","MQM 체크리스트, 채점표, (보조) ChatGPT",분야별 윤리 리스크(업무 적용),□ 분야별 케이스 □ 대응 가이드,□ 케이스 스터디 □ 팀토론,□ 사례판단 평가,휴텍씨DB/교재.csv,16
,일반 통합,1장,AI 번역의 원리 이해,AI 번역이 돌아가는 원리(기계번역→NMT→LLM)를 큰 흐름으로 이해한다,이론 중심,(추후 입력),같은 문장을 번역기/LLM로 돌려 비교,"기계번역 개념, NMT 작동 방식, LLM 기반 번역 개요를 “왜 결과가 이렇게 나오나” 관점으로 쉽게 설명","ChatGPT, DeepL/Google Translate",전 연령 공통 윤리 프레임,□ 핵심 프레임 □ 체크리스트 □ 서약,□ 단기 압축 과정 □ 복습자료,□ 퀴즈+실습 혼합,휴텍씨DB/교재.csv,17
,상위 전문,2장,일상생활 번역 감수,생활/대화 기반 문장을 자연스럽고 상황 맞게 감수한다,이론+실습,(추후 입력),"대화문 톤 조정, SNS 말투",**대화문·메신저(대화/일기/SNS 포스트)**에서 어색한 표현 고치기(말투/뉘앙스/상황성),"ChatGPT, Papago/Google",조직/현업 기준(가이드·정책),□ 조직 규정 예시 □ 운영 원칙,□ 정책 설계 실습 □ 리스크 점검,□ 평가 루브릭(상),휴텍씨DB/교재.csv,18
,전문 1급,3장,자주 나오는 오류 유형,초급 번역에서 자주 발생하는 오류를 유형으로 구분해 잡아낸다,이론+실습,(추후 입력),"단어 선택 오류, 어순 오류",조사/단어 선택/번역 어순/존댓말 표현 같은 “대표 실수”를 유형으로 외우고 바로 수정,오류 유형 체크리스트,윤리 설계/감수 역량(심사자급),□ 심사 기준표 □ 금지/허용 판정,□ 심사 시뮬레이션 □ 코멘트 규칙,□ 심사자 기록/로그,휴텍씨DB/교재.csv,19
,보수교육(연 5h),4장,번역 결과 평가법,번역을 ‘맞다/틀리다’가 아니라 기준으로 평가하는 법을 익힌다,이론+실습,(추후 입력),원문-번역문 의미 일치 체크,"직역 vs 의역, 원문의 의미 일치, 유창성 확인 3가지로 빠르게 평가하는 루틴","간단 루브릭(3항목), ChatGPT(대안 비교)",업데이트(규범/사례/정책) + 재인증,□ 최신 사례 □ 변경점 요약 □ 재서약,□ 5시간 구성안 □ 출석/이수,□ 이수기준 □ 미이수 처리,휴텍씨DB/교재.csv,20
,교육 1~2,5장,실전 연습,실제 문장을 번역/감수하고 해설까지 포함해 실전 감각을 만든다,실습 중심,(추후 입력),일상문 번역문 + 해설,"일상문 번역문을 감수하고, 해설을 붙여서 “왜 이렇게 고쳤는지” 설명할 수 있게 훈련 / AI 번역 vs 사람 번역 비교","ChatGPT, 번역기, 해설 템플릿",기본 번역 감각 + 쉬운 교정,□ 쉬운 문장 □ 오역 예시 □ 단어장,□ 짧은 실습 □ 즉시 피드백,□ OX/객관식,휴텍씨DB/교재.csv,21
,교육 3~4,,,,,,,,,의미 보존/자연스러움(기초),□ 문장 구조 □ 톤 예시 □ 교정법,□ 문장교정 실습,□ 단답+교정,휴텍씨DB/교재.csv,22
,교육 5~6,,,,,,,,,후편집(post-edit) 기초,□ 오류 유형표 □ 교정 체크리스트,□ AI번역→교정 루틴,□ 교정 채점 기준,휴텍씨DB/교재.csv,23
,교육 7~8,,,,,,,,,문서 길이/문맥 유지 + 품질관리,□ 문단 단위 전략 □ 일관성 규칙,□ 장문 실습 □ 용어관리,□ 수행형 평가,휴텍씨DB/교재.csv,24
,일반 3등급,,,,,,,,,실생활/업무 번역 실전,□ 업무 템플릿 □ 흔한 실수,□ 과제(메일/공지 등),□ 루브릭 □ 합격선,휴텍씨DB/교재.csv,25
,일반 2등급,,,,,,,,,스타일/톤/대상 맞춤 번역,□ 톤 가이드 □ 변환 예시,□ 시나리오 실습,□ 기준답안,휴텍씨DB/교재.csv,26
,일반 1등급,,,,,,,,,복합 지시(요약+번역+검수),□ 종합 과제 □ 검증 포인트,□ 캡스톤,□ 종합 루브릭,휴텍씨DB/교재.csv,27
,전문 2급,,,,,,,,,전문 분야 번역 + 후편집,□ 분야별 용어 □ 리스크 문장,□ 분야 실습 세트,□ 전문 루브릭 □ 검수자,휴텍씨DB/교재.csv,28
,전문 1급,,,,,,,,,고난도 전문번역/품질보증(QA),□ QA 체크 □ 스타일가이드,□ QA 프로세스 실습,□ 심사/이의제기,휴텍씨DB/교재.csv,29
