교재명,대분류,과정,급수,핵심역량목표,중분류,단원번호,단원명,학습목표,이론실습,원본파일,원본행
프롬프트 활용 교재(초등),문서,프롬프트 활용,교육 1~2,AI 도구 기본 사용 / 안전한 요청 습관,일반,1장,프롬프트란 무엇인가,프롬프트의 정의/역할/기본 개념을 이해한다,이론+가벼운 실습,휴텍씨DB/교재.csv,4
프롬프트 활용 교재(초등),,,교육 3~4,결과 품질 개선(수정·추가 질문),,2장,프롬프트의 기본 구조와 지시어,프롬프트 구성요소(목표/대상/조건/형식/톤)와 지시어를 익힌다,이론+실습,휴텍씨DB/교재.csv,5
프롬프트 활용 교재(초등),,,교육 5~6,템플릿화(문서/요약/기획) / 재현성,,3장,"분야별 프롬프트 예시 (글쓰기, 기획, 디자인, 데이터 등)",분야별(문서/기획/디자인/데이터) 요구사항 차이를 이해한다,이론+실습,휴텍씨DB/교재.csv,6
프롬프트 활용 교재(초등),,,교육 7~8,응용(업무/콘텐츠) + 기본 책임성,,4장,"모델별 차이점 (ChatGPT, Claude, Bard, Gemini 등)",모델 특성과 강점/약점을 비교하고 목적에 맞게 선택한다,이론+실습,휴텍씨DB/교재.csv,7
프롬프트 활용 교재(초등),,,일반 3급,실사용 문서 생성(메일/보고/정리),,5장,실전 문제 해결 프롬프트 작성 실습,실제 업무/시험 상황에서 문제를 프롬프트로 해결한다,실습 중심,휴텍씨DB/교재.csv,8
프롬프트 활용 교재(초등),,,일반 1급,복합 과업(기획+검수+산출물),전문,7장,자기 프롬프트 진단 및 평가,프롬프트 품질을 기준으로 평가하고 개선한다,이론+실습,휴텍씨DB/교재.csv,9
프롬프트 활용 교재(초등),,,일반 2급,다단계 지시/조건 관리/검증 습관,일반,6장,AI 오류 분석과 수정 전략,환각/누락/편향/출처 문제를 점검하고 수정한다,이론+실습,휴텍씨DB/교재.csv,10
프롬프트 활용 교재(초등),,,전문가 2급,전문 영역 적용(문서/데이터/개발 등),전문,8장,미래형 프롬프트 설계 및 창의적 확장,고급 설계(시나리오/역할/멀티스텝)로 확장한다,이론+실습,휴텍씨DB/교재.csv,11
프롬프트 활용 교재(중등),문서,,전문가 1급,설계/감수/운영(가이드·표준화),전문,1,프롬프트 개요(목적/대상),목적과 대상을 분리해 프롬프트를 설계할 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,12
프롬프트 활용 교재(중등),문서,윤리 교육,교육 1~2,개인정보/저작권 “하면 안 되는 것”,전문,2,구조화(역할/목적/조건/형식),역할·목적·조건·형식을 포함한 구조 프롬프트를 만들 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,13
프롬프트 활용 교재(중등),문서,,교육 3~4,편향/허위정보 기초 감지,분야,3,분야별 예시(문서/이미지/영상),분야별로 요구조건을 다르게 설계할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,14
프롬프트 활용 교재(중등),문서,,교육 5~6,프롬프트에 윤리요소 삽입(안전장치),분야,4,모델별 차이(비교 실험),같은 과업에서 모델 선택 기준(장단점)을 말할 수 있다.,이론50/실습50,휴텍씨DB/교재.csv,15
프롬프트 활용 교재(중등),문서,,교육 7~8,분야별 윤리 리스크(업무 적용),분야,5,실전 실습(문제 풀이),요구조건을 빠짐없이 넣어 결과를 얻을 수 있다.,이론20/실습80,휴텍씨DB/교재.csv,16
프롬프트 활용 교재(중등),문서,,일반 통합,전 연령 공통 윤리 프레임,분야,6,응답 분석/수정(오류 찾기),AI 답에서 빠진 조건/오류를 찾아 수정 요청을 할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,17
프롬프트 활용 교재(중등),문서,,상위 전문,조직/현업 기준(가이드·정책),분야,7,진단/평가(루브릭 기초),좋은 프롬프트 기준(명확성/조건충족/형식)을 점수화할 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,18
프롬프트 활용 교재(중등),음성,,전문 1급,윤리 설계/감수 역량(심사자급),방송 및 안내,8,미래형 설계(확장),하나의 프롬프트를 템플릿으로 만들어 재사용할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,19
프롬프트 활용 교재(고등),음성,,보수교육(연 5h),업데이트(규범/사례/정책) + 재인증,방송 및 안내,1,프롬프트 개요(문제정의),문제를 정의하고 요구조건을 변수처럼 정리할 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,20
프롬프트 활용 교재(고등),음성,AI 번역,교육 1~2,기본 번역 감각 + 쉬운 교정,방송 및 안내,2,역할지시/멀티스텝,역할지시+단계지시로 복합 작업을 설계할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,21
프롬프트 활용 교재(고등),음성,,교육 3~4,의미 보존/자연스러움(기초),방송 및 안내,3,분야별(문서/데이터/영상),출력 형식(표/JSON/목차 등)을 강제할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,22
프롬프트 활용 교재(고등),음성,,교육 5~6,후편집(post-edit) 기초,강의,4,모델/도구 선택(Copilot 등),도구별 강점에 맞게 워크플로우를 구성할 수 있다.,이론50/실습50,휴텍씨DB/교재.csv,23
프롬프트 활용 교재(고등),음성,,교육 7~8,문서 길이/문맥 유지 + 품질관리,강의,5,실전 실습(응용 문서),역할/제약/형식을 지켜 결과물을 완성할 수 있다.,이론20/실습80,휴텍씨DB/교재.csv,24
프롬프트 활용 교재(고등),음성,,일반 3등급,실생활/업무 번역 실전,강의,6,응답 분석/수정(후편집),환각/오류/누락을 찾아 재지시+후편집할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,25
프롬프트 활용 교재(고등),영상,,일반 2등급,스타일/톤/대상 맞춤 번역,콘텐츠,7,진단/평가(루브릭 심화),채점 기준표로 결과를 평가하고 개선안을 낼 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,26
프롬프트 활용 교재(고등),영상,,일반 1등급,복합 지시(요약+번역+검수),콘텐츠,8,미래형 설계(에이전트 기초),반복업무 템플릿/매크로형 프롬프트를 설계할 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,27
프롬프트 활용 교재(실무),영상,,전문 2급,전문 분야 번역 + 후편집,콘텐츠,1,프롬프트 개요(업무 맥락),업무 맥락을 포함해 요구사항을 정의할 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,28
프롬프트 활용 교재(실무),영상,,전문 1급,고난도 전문번역/품질보증(QA),콘텐츠,2,구조화(목적/범위/제약/형식),실무 프롬프트를 템플릿으로 구조화할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,29
프롬프트 활용 교재(실무),영상,,,,콘텐츠,3,분야별 예시(문서/기획/데이터),분야별 산출물 형태에 맞춰 프롬프트를 바꿀 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,30
프롬프트 활용 교재(실무),영상,,,,콘텐츠,4,모델/툴 선택(업무별),업무별로 도구 선택 기준(속도/정확/형식/비용)을 세울 수 있다.,이론50/실습50,휴텍씨DB/교재.csv,31
프롬프트 활용 교재(실무),개발,,,,디자인,5,실전 실습(자동화),반복업무를 프롬프트 워크플로우로 자동화할 수 있다.,이론20/실습80,휴텍씨DB/교재.csv,32
프롬프트 활용 교재(실무),개발,,,,디자인,6,응답 분석/수정(품질관리),품질 이슈(누락/환각/톤)를 진단하고 수정 지시할 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,33
프롬프트 활용 교재(실무),개발,,,,디자인,7,진단/평가(루브릭 운영),조직에서 통용될 루브릭/체크리스트를 만들 수 있다.,이론50/실습50,휴텍씨DB/교재.csv,34
프롬프트 활용 교재(실무),개발,,,,기획,8,미래형 설계(재사용/버전),템플릿/버전관리/로그 개념으로 운영할 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,35
프롬프트 활용 교재(상위전문),개발,,,,기획,1,프롬프트 개요(도메인),도메인 리스크를 포함해 요구사항을 정의할 수 있다.,이론50/실습50,휴텍씨DB/교재.csv,36
프롬프트 활용 교재(상위전문),개발,,,,기획,2,구조화(근거/출처/범위),"근거 요구, 범위 제한, 책임 고지를 포함해 설계한다.",이론40/실습60,휴텍씨DB/교재.csv,37
프롬프트 활용 교재(상위전문),개발,,,,프로그램,3,분야별(전문문서/데이터/정책),전문 산출물 형식(표/요약/리스크)을 강제한다.,이론30/실습70,휴텍씨DB/교재.csv,38
프롬프트 활용 교재(상위전문),개발,,,,프로그램,4,모델/도구 선택(검증),검색/근거/검증을 포함한 도구 조합을 설계한다.,이론50/실습50,휴텍씨DB/교재.csv,39
프롬프트 활용 교재(상위전문),개발,,,,프로그램,5,실전 실습(복합 시나리오),복합 조건을 만족하는 고급 프롬프트를 작성한다.,이론20/실습80,휴텍씨DB/교재.csv,40
프롬프트 활용 교재(상위전문),개발,,,,프로그램,6,응답 분석/수정(감사관점),결과의 오류/편향/누락을 감사 관점으로 잡아낸다.,이론40/실습60,휴텍씨DB/교재.csv,41
프롬프트 활용 교재(상위전문),개발,,,,보안,7,진단/평가(채점/감사),루브릭을 “채점/감사 기준”으로 운영한다.,이론50/실습50,휴텍씨DB/교재.csv,42
프롬프트 활용 교재(상위전문),개발,,,,보안,8,미래형 설계(거버넌스),승인/로그/책임체계를 포함한 운영 설계를 한다.,이론50/실습50,휴텍씨DB/교재.csv,43
프롬프트 활용 교재(전문1급),개발,,,,보안,1,프롬프트 개요(전문직 리스크),법/의/정책 등 고위험 영역에서 안전한 범위 정의를 한다.,이론50/실습50,휴텍씨DB/교재.csv,44
프롬프트 활용 교재(전문1급),창의적 활동,,,,예술 및 문학,2,구조화(면책/근거/제한),면책·근거·범위제한을 포함한 프롬프트를 설계한다.,이론40/실습60,휴텍씨DB/교재.csv,45
프롬프트 활용 교재(전문1급),창의적 활동,,,,예술 및 문학,3,전문 산출물 형식(표준화),표준 형식(쟁점/근거/결론/리스크)으로 출력하게 한다.,이론40/실습60,휴텍씨DB/교재.csv,46
프롬프트 활용 교재(전문1급),창의적 활동,,,,예술 및 문학,4,모델/도구 선택(증거),검색/문서기반 근거를 다루는 절차를 설계한다.,이론50/실습50,휴텍씨DB/교재.csv,47
프롬프트 활용 교재(전문1급),창의적 활동,,,,예술 및 문학,5,실전 실습(케이스 기반),케이스에서 “추정 금지”로 안전한 답을 만들게 한다.,이론20/실습80,휴텍씨DB/교재.csv,48
프롬프트 활용 교재(전문1급),창의적 활동,,,,예술 및 문학,6,응답 분석/수정(리스크 제거),환각·오해·책임소지를 제거하는 수정 지시를 한다.,이론40/실습60,휴텍씨DB/교재.csv,49
프롬프트 활용 교재(전문1급),창의적 활동,,,,예술 및 문학,7,진단/평가(감사/컴플라이언스),컴플라이언스 체크리스트로 합/불을 결정한다.,이론50/실습50,휴텍씨DB/교재.csv,50
프롬프트 활용 교재(전문1급),이미지 제작,,,,"홍보물(브로셔, 포스터)",8,미래형 설계(내부통제),내부통제(승인/로그/책임자) 체계를 제안한다.,이론50/실습50,휴텍씨DB/교재.csv,51
