구분,항목,내용,원본파일,원본행
전문가 매칭,전문가구분,전문가,수집된DB/대표DB.csv,42
전문가 매칭,매칭 방법,매칭 요청,수집된DB/대표DB.csv,42
전문가 매칭,매칭 상태,매칭 중,수집된DB/대표DB.csv,42
전문가 매칭,전문가 승인상태,전문가 거절,수집된DB/대표DB.csv,42
전문가 매칭,전문가 레벨 설정표,학벌,수집된DB/대표DB.csv,42
전문가 매칭,전문가영역,변호사,수집된DB/대표DB.csv,42
전문가 매칭,세부 전문가,민사법,수집된DB/대표DB.csv,42
전문가 매칭,우선전문가 업무순위,2,수집된DB/대표DB.csv,42
전문가 매칭,전문가 레벨설정,B,수집된DB/대표DB.csv,42
전문가 매칭,활동 가능 시간,평일 오후,수집된DB/대표DB.csv,42
전문가 매칭,작업 소요 시간,6시간 이내,수집된DB/대표DB.csv,42
전문가 매칭,작업 단위,시간당,수집된DB/대표DB.csv,42
전문가 매칭,서비스 가능 유형,전화(화상),수집된DB/대표DB.csv,42
전문가 매칭,서비스 유형별,에디터,수집된DB/대표DB.csv,42
전문가 매칭,단계설정,1-3단계,수집된DB/대표DB.csv,43
전문가 매칭,업무 난이도,상중하,수집된DB/대표DB.csv,43
전문가 매칭,전문가구분,일반,수집된DB/대표DB.csv,43
전문가 매칭,매칭 방법,직접 찾기,수집된DB/대표DB.csv,43
전문가 매칭,매칭 상태,요청,수집된DB/대표DB.csv,43
전문가 매칭,전문가 승인상태,전문가 요청,수집된DB/대표DB.csv,43
전문가 매칭,전문가 레벨 설정표,업무 경력,수집된DB/대표DB.csv,43
전문가 매칭,전문가영역,인사,수집된DB/대표DB.csv,43
전문가 매칭,세부 전문가,취업,수집된DB/대표DB.csv,43
전문가 매칭,우선전문가 업무순위,1,수집된DB/대표DB.csv,43
전문가 매칭,전문가 레벨설정,A,수집된DB/대표DB.csv,43
전문가 매칭,활동 가능 시간,평일 오전,수집된DB/대표DB.csv,43
전문가 매칭,작업 소요 시간,3시간 이내,수집된DB/대표DB.csv,43
전문가 매칭,작업 단위,글자수,수집된DB/대표DB.csv,43
전문가 매칭,서비스 가능 유형,대면,수집된DB/대표DB.csv,43
전문가 매칭,서비스 유형별,음성변환,수집된DB/대표DB.csv,43
전문가 매칭,전문가구분,특수전문가,수집된DB/대표DB.csv,44
전문가 매칭,매칭 방법,기타(기업),수집된DB/대표DB.csv,44
전문가 매칭,매칭 상태,서비스 완료,수집된DB/대표DB.csv,44
전문가 매칭,전문가 승인상태,전문가 승인 대기,수집된DB/대표DB.csv,44
전문가 매칭,전문가 레벨 설정표,해외근무여부,수집된DB/대표DB.csv,44
전문가 매칭,전문가영역,의사,수집된DB/대표DB.csv,44
전문가 매칭,세부 전문가,의료,수집된DB/대표DB.csv,44
전문가 매칭,우선전문가 업무순위,4,수집된DB/대표DB.csv,44
전문가 매칭,전문가 레벨설정,D,수집된DB/대표DB.csv,44
전문가 매칭,활동 가능 시간,평일 종일,수집된DB/대표DB.csv,44
전문가 매칭,작업 소요 시간,24시간 이내,수집된DB/대표DB.csv,44
전문가 매칭,작업 단위,갯수,수집된DB/대표DB.csv,44
전문가 매칭,서비스 가능 유형,파일제공,수집된DB/대표DB.csv,44
전문가 매칭,서비스 유형별,감수,수집된DB/대표DB.csv,44
전문가 매칭,전문가구분,고급전문가,수집된DB/대표DB.csv,45
전문가 매칭,매칭 방법,자동 매칭,수집된DB/대표DB.csv,45
전문가 매칭,매칭 상태,매칭 완료,수집된DB/대표DB.csv,45
전문가 매칭,전문가 승인상태,전문가 승인,수집된DB/대표DB.csv,45
전문가 매칭,전문가 레벨 설정표,분야,수집된DB/대표DB.csv,45
전문가 매칭,세부 전문가,형사법,수집된DB/대표DB.csv,45
전문가 매칭,우선전문가 업무순위,3,수집된DB/대표DB.csv,45
전문가 매칭,전문가 레벨설정,C,수집된DB/대표DB.csv,45
전문가 매칭,활동 가능 시간,주말,수집된DB/대표DB.csv,45
전문가 매칭,작업 소요 시간,12시간 이내,수집된DB/대표DB.csv,45
전문가 매칭,작업 단위,장당,수집된DB/대표DB.csv,45
전문가 매칭,서비스 가능 유형,채팅,수집된DB/대표DB.csv,45
전문가 매칭,서비스 유형별,문서 단순 편집,수집된DB/대표DB.csv,45
전문가 매칭,매칭 상태,임시저장 ?,수집된DB/대표DB.csv,46
전문가 매칭,세부 전문가,취업,수집된DB/대표DB.csv,46
전문가 매칭,활동 가능 시간,긴급가능,수집된DB/대표DB.csv,46
전문가 매칭,작업 단위,회당(시험),수집된DB/대표DB.csv,46
전문가 매칭,서비스 유형별,설문,수집된DB/대표DB.csv,46
전문가 매칭,매칭 상태,작업 중,수집된DB/대표DB.csv,47
전문가 매칭,전문가 레벨 설정표,해당분야 경력,수집된DB/대표DB.csv,47
전문가 매칭,전문가영역,회계사,수집된DB/대표DB.csv,47
전문가 매칭,세부 전문가,세무,수집된DB/대표DB.csv,47
전문가 매칭,전문가 레벨설정,E,수집된DB/대표DB.csv,47
전문가 매칭,활동 가능 시간,언제든 (긴급),수집된DB/대표DB.csv,47
전문가 매칭,작업 소요 시간,희망일 이내,수집된DB/대표DB.csv,47
전문가 매칭,작업 단위,문항당,수집된DB/대표DB.csv,47
전문가 매칭,서비스 유형별,문서 작성,수집된DB/대표DB.csv,47
전문가 매칭,세부 전문가,세무정산,수집된DB/대표DB.csv,48
전문가 매칭,작업 단위,횟수(전화화상),수집된DB/대표DB.csv,48
전문가 매칭,서비스 유형별,업무 의뢰,수집된DB/대표DB.csv,48
전문가 매칭,전문가영역,노무사,수집된DB/대표DB.csv,49
전문가 매칭,세부 전문가,취업,수집된DB/대표DB.csv,49
전문가 매칭,작업 단위,회원당,수집된DB/대표DB.csv,49
전문가 매칭,세부 전문가,영업,수집된DB/대표DB.csv,50
전문가 매칭,세부 전문가,계약,수집된DB/대표DB.csv,51
전문가 매칭,전문가영역,변리사,수집된DB/대표DB.csv,52
전문가 매칭,세부 전문가,특허,수집된DB/대표DB.csv,52
전문가 매칭,서비스 유형별,시험 출제,수집된DB/대표DB.csv,52
전문가 매칭,서비스 유형별,시험 채점,수집된DB/대표DB.csv,54
결제 및 할인,정산 기준,A레벨,수집된DB/대표DB.csv,64
결제 및 할인,정산 비율,70%,수집된DB/대표DB.csv,64
결제 및 할인,서비스 단위,글자수,수집된DB/대표DB.csv,64
결제 및 할인,서비스 기준,1만자,수집된DB/대표DB.csv,64
결제 및 할인,문의 분류 (개발 완료 전 확정 필요),결제,수집된DB/대표DB.csv,64
결제 및 할인,결제 분류,포인트,수집된DB/대표DB.csv,64
결제 및 할인,결제 내용,포인트 충전,수집된DB/대표DB.csv,64
결제 및 할인,활용법,다운로드,수집된DB/대표DB.csv,64
결제 및 할인,요금 그룹 ???,일반,수집된DB/대표DB.csv,64
결제 및 할인,할인 유형,이벤트,수집된DB/대표DB.csv,64
결제 및 할인,할인율,10%,수집된DB/대표DB.csv,64
결제 및 할인,서비스 레벨,A,수집된DB/대표DB.csv,64
결제 및 할인,추가 설정1(갯수),*1,수집된DB/대표DB.csv,64
결제 및 할인,내용,에디터 글자,수집된DB/대표DB.csv,64
결제 및 할인,혜택,1천자,수집된DB/대표DB.csv,64
결제 및 할인,금액,월 1만원,수집된DB/대표DB.csv,64
결제 및 할인,정산 기준,B레벨,수집된DB/대표DB.csv,65
결제 및 할인,정산 비율,80%,수집된DB/대표DB.csv,65
결제 및 할인,서비스 단위,장당,수집된DB/대표DB.csv,65
결제 및 할인,서비스 기준,10장,수집된DB/대표DB.csv,65
결제 및 할인,문의 분류 (개발 완료 전 확정 필요),오류,수집된DB/대표DB.csv,65
결제 및 할인,결제 분류,구독,수집된DB/대표DB.csv,65
결제 및 할인,결제 내용,베이직 구독,수집된DB/대표DB.csv,65
결제 및 할인,활용법,GPT 작성,수집된DB/대표DB.csv,65
결제 및 할인,요금 그룹 ???,표준,수집된DB/대표DB.csv,65
결제 및 할인,할인 유형,회원가입,수집된DB/대표DB.csv,65
결제 및 할인,할인율,10%,수집된DB/대표DB.csv,65
결제 및 할인,서비스 레벨,B레벨,수집된DB/대표DB.csv,65
결제 및 할인,추가 설정1(갯수),*2,수집된DB/대표DB.csv,65
결제 및 할인,내용,번역(AI),수집된DB/대표DB.csv,65
결제 및 할인,혜택,1만자,수집된DB/대표DB.csv,65
결제 및 할인,금액,월 5천원,수집된DB/대표DB.csv,65
결제 및 할인,정산 기준,D레벨,수집된DB/대표DB.csv,66
결제 및 할인,정산 비율,90%,수집된DB/대표DB.csv,66
결제 및 할인,문의 분류 (개발 완료 전 확정 필요),서비스,수집된DB/대표DB.csv,66
결제 및 할인,결제 내용,프리미엄구독,수집된DB/대표DB.csv,66
결제 및 할인,활용법,작성 요청,수집된DB/대표DB.csv,66
결제 및 할인,요금 그룹 ???,고급,수집된DB/대표DB.csv,66
결제 및 할인,할인 유형,친구 소개,수집된DB/대표DB.csv,66
결제 및 할인,할인율,7%,수집된DB/대표DB.csv,66
결제 및 할인,서비스 레벨,D레벨,수집된DB/대표DB.csv,66
결제 및 할인,추가 설정1(갯수),*4,수집된DB/대표DB.csv,66
결제 및 할인,정산 기준,C레벨,수집된DB/대표DB.csv,67
결제 및 할인,정산 비율,85%,수집된DB/대표DB.csv,67
결제 및 할인,서비스 단위,시간당,수집된DB/대표DB.csv,67
결제 및 할인,서비스 기준,10시간,수집된DB/대표DB.csv,67
결제 및 할인,문의 분류 (개발 완료 전 확정 필요),환불,수집된DB/대표DB.csv,67
결제 및 할인,결제 내용,스탠다드구독,수집된DB/대표DB.csv,67
결제 및 할인,활용법,감수 요청,수집된DB/대표DB.csv,67
결제 및 할인,요금 그룹 ???,전문,수집된DB/대표DB.csv,67
결제 및 할인,할인 유형,첫 결제,수집된DB/대표DB.csv,67
결제 및 할인,할인율,5%,수집된DB/대표DB.csv,67
결제 및 할인,서비스 레벨,C레벨,수집된DB/대표DB.csv,67
결제 및 할인,추가 설정1(갯수),*3,수집된DB/대표DB.csv,67
결제 및 할인,정산 기준,긴급,수집된DB/대표DB.csv,68
결제 및 할인,정산 비율,90%,수집된DB/대표DB.csv,68
결제 및 할인,문의 분류 (개발 완료 전 확정 필요),개선 요청,수집된DB/대표DB.csv,68
결제 및 할인,결제 분류,1회결제,수집된DB/대표DB.csv,68
결제 및 할인,결제 내용,서비스 이용,수집된DB/대표DB.csv,68
결제 및 할인,활용법,컨설팅 요청,수집된DB/대표DB.csv,68
결제 및 할인,요금 그룹 ???,프리미엄,수집된DB/대표DB.csv,68
결제 및 할인,할인율,3%,수집된DB/대표DB.csv,68
결제 및 할인,서비스 레벨,긴급,수집된DB/대표DB.csv,68
결제 및 할인,추가 설정1(갯수),*2,수집된DB/대표DB.csv,68
결제 및 할인,문의 분류 (개발 완료 전 확정 필요),기타,수집된DB/대표DB.csv,69
결제 및 할인,활용법,임시저장,수집된DB/대표DB.csv,69
결제 및 할인,활용법 구매,프롬프르 생성,수집된DB/대표DB.csv,70
결제 및 할인,활용법,컨설팅 요청,수집된DB/대표DB.csv,70
결제 및 할인,문의 분류 (개발 완료 전 확정 필요),시험,수집된DB/대표DB.csv,71
결제 및 할인,활용법 구매,문서 구매,수집된DB/대표DB.csv,71
결제 및 할인,활용법,설문요청,수집된DB/대표DB.csv,71
서비스 영역,프롬프트(중),웹툰,수집된DB/대표DB.csv,77
서비스 영역,AI번역(중),드라마,수집된DB/대표DB.csv,77
서비스 영역,언어,영한,수집된DB/대표DB.csv,77
서비스 영역,1. 서비스 영역 - 번역,번역한것 확인후 다운 혹은,수집된DB/대표DB.csv,77
서비스 영역,프롬프트 서비스,프롬프트 개수 선정,수집된DB/대표DB.csv,77
서비스 영역,프롬프트(중),법률,수집된DB/대표DB.csv,78
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역","소송장, 준비서면",수집된DB/대표DB.csv,78
서비스 영역,AI번역(중),영화,수집된DB/대표DB.csv,78
서비스 영역,언어,영<-> 외국어,수집된DB/대표DB.csv,78
서비스 영역,1. 서비스 영역 - 번역,수정하기 위한 에디팅 설정,수집된DB/대표DB.csv,78
서비스 영역,프롬프트 서비스,내용정리한것 수정,수집된DB/대표DB.csv,78
서비스 영역,프롬프트(중),비즈니스,수집된DB/대표DB.csv,79
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역","사업계획서, 회사소개서",수집된DB/대표DB.csv,79
서비스 영역,AI번역(중),SNS,수집된DB/대표DB.csv,79
서비스 영역,1. 서비스 영역 - 번역,에디팅후 텍스트로 다운 혹은,수집된DB/대표DB.csv,79
서비스 영역,프롬프트(중),노무,수집된DB/대표DB.csv,80
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역","근로계약서, 사직서",수집된DB/대표DB.csv,80
서비스 영역,AI번역(중),유투브,수집된DB/대표DB.csv,80
서비스 영역,언어,109<->109언어임,수집된DB/대표DB.csv,80
서비스 영역,1. 서비스 영역 - 번역,음성이나 영상으로 변경하여 다운,수집된DB/대표DB.csv,80
서비스 영역,프롬프트 서비스,2. 서비스 종류,수집된DB/대표DB.csv,80
서비스 영역,프롬프트(중),드라마,수집된DB/대표DB.csv,81
서비스 영역,파일변환방식,TTS,수집된DB/대표DB.csv,81
서비스 영역,AI번역(대),음성파일,수집된DB/대표DB.csv,81
서비스 영역,AI번역(중),아나운서,수집된DB/대표DB.csv,81
서비스 영역,1. 서비스 영역 - 번역,2. 서비스 종류,수집된DB/대표DB.csv,81
서비스 영역,프롬프트 서비스,문서 작성 전문가,수집된DB/대표DB.csv,81
서비스 영역,프롬프트(중),기획서,수집된DB/대표DB.csv,82
서비스 영역,AI번역(중),다큐멘터리,수집된DB/대표DB.csv,82
서비스 영역,프롬프트 서비스,전문가 의뢰 하기,수집된DB/대표DB.csv,82
서비스 영역,프롬프트(대),영상,수집된DB/대표DB.csv,83
서비스 영역,프롬프트(중),유투브영상,수집된DB/대표DB.csv,83
서비스 영역,AI번역(중),관광 가이드,수집된DB/대표DB.csv,83
서비스 영역,1. 서비스 영역 - 번역,긴급,수집된DB/대표DB.csv,83
서비스 영역,프롬프트 서비스,문서 편집 전문가,수집된DB/대표DB.csv,83
서비스 영역,프롬프트(중),영상,수집된DB/대표DB.csv,84
서비스 영역,AI번역(중),큐레이터,수집된DB/대표DB.csv,84
서비스 영역,1. 서비스 영역 - 번역,문서 편집,수집된DB/대표DB.csv,84
서비스 영역,프롬프트 서비스,법률 의료 등 분야 전문가,수집된DB/대표DB.csv,84
서비스 영역,프롬프트(대),"이미지, 디자인",수집된DB/대표DB.csv,85
서비스 영역,프롬프트(중),홍보물,수집된DB/대표DB.csv,85
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역",브료셔. 포스터,수집된DB/대표DB.csv,85
서비스 영역,AI번역(중),안내,수집된DB/대표DB.csv,85
서비스 영역,1. 서비스 영역 - 번역,같은 파일 다운,수집된DB/대표DB.csv,85
서비스 영역,프롬프트 서비스,"코딩, 음성, 업무 전문가",수집된DB/대표DB.csv,85
서비스 영역,프롬프트(중),SNS,수집된DB/대표DB.csv,86
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역","인스타, 틱톡",수집된DB/대표DB.csv,86
서비스 영역,AI번역(중),강의,수집된DB/대표DB.csv,86
서비스 영역,1. 서비스 영역 - 번역,다양한 번역기 사용,수집된DB/대표DB.csv,86
서비스 영역,프롬프트 서비스,3. 프롬프트후 번역으로 연결,수집된DB/대표DB.csv,86
서비스 영역,프롬프트(중),그림,수집된DB/대표DB.csv,87
서비스 영역,AI번역(중),음악,수집된DB/대표DB.csv,87
서비스 영역,1. 서비스 영역 - 번역,번역의뢰,수집된DB/대표DB.csv,87
서비스 영역,프롬프트(중),시안,수집된DB/대표DB.csv,88
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역","로고, 홈페이지",수집된DB/대표DB.csv,88
서비스 영역,파일변환방식,STS,수집된DB/대표DB.csv,88
서비스 영역,AI번역(중),동시통역,수집된DB/대표DB.csv,88
서비스 영역,1. 서비스 영역 - 번역,음성및 영상 텍스트로 변환,수집된DB/대표DB.csv,88
서비스 영역,프롬프트(대),음성,수집된DB/대표DB.csv,89
서비스 영역,프롬프트(중),음성,수집된DB/대표DB.csv,89
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역","목소리, 음성",수집된DB/대표DB.csv,89
서비스 영역,파일변환방식,TTT,수집된DB/대표DB.csv,89
서비스 영역,AI번역(대),문서,수집된DB/대표DB.csv,89
서비스 영역,AI번역(중),웹툰,수집된DB/대표DB.csv,89
서비스 영역,1. 서비스 영역 - 번역,전문가 레벨별 감수 의뢰,수집된DB/대표DB.csv,89
서비스 영역,프롬프트 서비스,4. 서비스 영역-프롬프트,수집된DB/대표DB.csv,89
서비스 영역,프롬프트(중),음악,수집된DB/대표DB.csv,90
서비스 영역,AI번역(중),고전,수집된DB/대표DB.csv,90
서비스 영역,프롬프트 서비스,기존양식사용,수집된DB/대표DB.csv,90
서비스 영역,프롬프트(대),프로그램,수집된DB/대표DB.csv,91
서비스 영역,프롬프트(중),코딩,수집된DB/대표DB.csv,91
서비스 영역,AI번역(중),비즈니스,수집된DB/대표DB.csv,91
서비스 영역,1. 서비스 영역 - 번역,3. 번역 퀄리티 선택,수집된DB/대표DB.csv,91
서비스 영역,프롬프트 서비스,양식 자체 제작,수집된DB/대표DB.csv,91
서비스 영역,프롬프트(대),설문,수집된DB/대표DB.csv,92
서비스 영역,프롬프트(중),리서치,수집된DB/대표DB.csv,92
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역",보고서,수집된DB/대표DB.csv,92
서비스 영역,AI번역(중),PPT,수집된DB/대표DB.csv,92
서비스 영역,1. 서비스 영역 - 번역,초벌번역,수집된DB/대표DB.csv,92
서비스 영역,프롬프트 서비스,제작후 판매,수집된DB/대표DB.csv,92
서비스 영역,프롬프트(중),분석,수집된DB/대표DB.csv,93
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역",비교표,수집된DB/대표DB.csv,93
서비스 영역,AI번역(중),사업소개서,수집된DB/대표DB.csv,93
서비스 영역,1. 서비스 영역 - 번역,전문번역,수집된DB/대표DB.csv,93
서비스 영역,프롬프트 서비스,양식 내용 진행,수집된DB/대표DB.csv,93
서비스 영역,프롬프트(중),설문,수집된DB/대표DB.csv,94
서비스 영역,"프롬프트(소)-
개인이 설정하는 영역","논문, 재품참조",수집된DB/대표DB.csv,94
서비스 영역,AI번역(대),세부 분야,수집된DB/대표DB.csv,94
서비스 영역,AI번역(중),화장품,수집된DB/대표DB.csv,94
서비스 영역,1. 서비스 영역 - 번역,"분야별 : 출판번역 , 영상번역 ,
방산번역, 웹툰번역",수집된DB/대표DB.csv,94
서비스 영역,프롬프트 서비스,내용까지 팔기,수집된DB/대표DB.csv,94
서비스 영역,프롬프트(대),창의적활동,수집된DB/대표DB.csv,95
서비스 영역,프롬프트(중),시,수집된DB/대표DB.csv,95
서비스 영역,AI번역(중),반도체,수집된DB/대표DB.csv,95
서비스 영역,프롬프트 서비스,내것 무료 알림,수집된DB/대표DB.csv,95
서비스 영역,프롬프트(중),드라마작가,수집된DB/대표DB.csv,96
서비스 영역,AI번역(중),방산,수집된DB/대표DB.csv,96
서비스 영역,프롬프트 서비스,내용작성후 감수 받기,수집된DB/대표DB.csv,96
서비스 영역,프롬프트(중),웹툰 스토리 만들기,수집된DB/대표DB.csv,97
서비스 영역,AI번역(중),뉴스,수집된DB/대표DB.csv,97
서비스 영역,프롬프트 서비스,번역서비스,수집된DB/대표DB.csv,97
서비스 영역,프롬프트(중),소설 쓰기,수집된DB/대표DB.csv,98
서비스 영역,AI번역(중),정치,수집된DB/대표DB.csv,98
서비스 영역,프롬프트 서비스,제작요청,수집된DB/대표DB.csv,98
서비스 영역,AI번역(중),문학,수집된DB/대표DB.csv,99
서비스 영역,프롬프트(대),코딩,수집된DB/대표DB.csv,100
서비스 영역,AI번역(중),경제,수집된DB/대표DB.csv,100
서비스 영역,AI번역(중),방산,수집된DB/대표DB.csv,101
서비스 영역,AI번역(중),공학,수집된DB/대표DB.csv,102
